trial_no,program,N,n,strategy,threads,average_time
1,static,10,3,LINE,1,53013
2,static,10,3,LINE,4,602837
3,dynamic,10,3,LINE,1,1542
4,dynamic,10,3,LINE,4,359922
5,static,1000,5,LINE,1,15603739
6,static,1000,5,LINE,2,10197875
7,static,1000,5,LINE,4,6741158
8,static,1000,5,LINE,8,8401452
9,static,1000,5,LINE,16,9839281
10,dynamic,1000,5,LINE,1,17117770
11,dynamic,1000,5,LINE,2,9566500
12,dynamic,1000,5,LINE,4,7256839
13,dynamic,1000,5,LINE,8,5446310
14,dynamic,1000,5,LINE,16,4899568
15,static,10,5,LINE,1,1063639
16,static,10,5,LINE,2,1045843
17,static,10,5,LINE,4,752562
18,static,10,5,LINE,8,1161309
19,static,10,5,LINE,16,2173812
20,dynamic,10,5,LINE,1,1826212
21,dynamic,10,5,LINE,2,1481195
22,dynamic,10,5,LINE,4,1123177
23,dynamic,10,5,LINE,8,921581
24,dynamic,10,5,LINE,16,1495240
25,static,10000,5,LINE,1,48987011
26,static,10000,5,LINE,2,30411989
27,static,10000,5,LINE,4,24758734
28,static,10000,5,LINE,8,31747746
29,static,10000,5,LINE,16,50321702
30,dynamic,10000,5,LINE,1,2374243
31,dynamic,10000,5,LINE,2,1684312
32,dynamic,10000,5,LINE,4,1185115
33,dynamic,10000,5,LINE,8,959886
34,dynamic,10000,5,LINE,16,1695506
35,static,10,3,COLUMN,1,69442
36,static,10,3,COLUMN,4,457515
37,dynamic,10,3,COLUMN,1,1592
38,dynamic,10,3,COLUMN,4,443141
39,static,1000,5,COLUMN,1,11985429
40,static,1000,5,COLUMN,2,8941210
41,static,1000,5,COLUMN,4,5814328
42,static,1000,5,COLUMN,8,10253625
43,static,1000,5,COLUMN,16,11030020
44,dynamic,1000,5,COLUMN,1,18080006
45,dynamic,1000,5,COLUMN,2,10003626
46,dynamic,1000,5,COLUMN,4,8006977
47,dynamic,1000,5,COLUMN,8,5664485
48,dynamic,1000,5,COLUMN,16,5481601
49,static,10,5,COLUMN,1,884933
50,static,10,5,COLUMN,2,785218
51,static,10,5,COLUMN,4,771311
52,static,10,5,COLUMN,8,970369
53,static,10,5,COLUMN,16,1360517
54,dynamic,10,5,COLUMN,1,1890990
55,dynamic,10,5,COLUMN,2,1117121
56,dynamic,10,5,COLUMN,4,931899
57,dynamic,10,5,COLUMN,8,855717
58,dynamic,10,5,COLUMN,16,1424623
59,dynamic,10000,5,COLUMN,1,1717631
60,dynamic,10000,5,COLUMN,2,1343022
61,dynamic,10000,5,COLUMN,4,1125109
62,dynamic,10000,5,COLUMN,8,1000951
63,dynamic,10000,5,COLUMN,16,1431616
64,static,10000,5,COLUMN,1,56051555
65,static,10000,5,COLUMN,2,44741833
66,static,10000,5,COLUMN,4,41198243
67,static,10000,5,COLUMN,8,45012994
68,static,10000,5,COLUMN,16,90793120
69,static,1000,5,DISTRIBUTION,1,12702996
70,static,1000,5,DISTRIBUTION,2,13902277
71,static,1000,5,DISTRIBUTION,4,12636643
72,static,1000,5,DISTRIBUTION,8,10114984
73,static,1000,5,DISTRIBUTION,16,11273195
74,dynamic,1000,5,DISTRIBUTION,1,17197574
75,dynamic,1000,5,DISTRIBUTION,2,16293873
76,dynamic,1000,5,DISTRIBUTION,4,14798194
77,dynamic,1000,5,DISTRIBUTION,8,12170798
78,dynamic,1000,5,DISTRIBUTION,16,12460999
79,static,10,5,DISTRIBUTION,1,1121290
80,static,10,5,DISTRIBUTION,2,1650439
81,static,10,5,DISTRIBUTION,4,1445420
82,static,10,5,DISTRIBUTION,8,1525176
83,static,10,5,DISTRIBUTION,16,2116908
84,dynamic,10,5,DISTRIBUTION,1,2010508
85,dynamic,10,5,DISTRIBUTION,2,2390473
86,dynamic,10,5,DISTRIBUTION,4,1807417
87,dynamic,10,5,DISTRIBUTION,8,1954836
88,dynamic,10,5,DISTRIBUTION,16,1912825
89,static,10000,5,DISTRIBUTION,1,48391666
90,static,10000,5,DISTRIBUTION,2,28818053
91,static,10000,5,DISTRIBUTION,4,40964822
92,static,10000,5,DISTRIBUTION,8,30056955
93,static,10000,5,DISTRIBUTION,16,44928148
94,dynamic,10000,5,DISTRIBUTION,1,1614712
95,dynamic,10000,5,DISTRIBUTION,2,1701356
96,dynamic,10000,5,DISTRIBUTION,4,1475238
97,dynamic,10000,5,DISTRIBUTION,8,1737025
98,dynamic,10000,5,DISTRIBUTION,16,1706966
99,static,1000,5,BLOCK,1,11910136
100,static,1000,5,BLOCK,4,5751466
101,static,1000,5,BLOCK,16,8021118
102,dynamic,1000,5,BLOCK,16,5782860
103,dynamic,1000,5,BLOCK,4,7427663
104,dynamic,1000,5,BLOCK,1,17181618
105,static,10,5,BLOCK,1,1066351
106,static,10,5,BLOCK,4,814517
107,dynamic,10,5,BLOCK,1,1796503
108,dynamic,10,5,BLOCK,4,1039960
109,static,10000,5,BLOCK,1,38773562
110,static,10000,5,BLOCK,4,27982304
111,dynamic,10000,5,BLOCK,4,1083495
112,dynamic,10000,5,BLOCK,1,1847982
113,./dynamic,10,3,LINE,4,464643
