trial_no,program,N,n,strategy,threads,average_time
1,build/libs/lab1-1.0-SNAPSHOT.jar,10,3,LINE,1,244626
2,build/libs/lab1-1.0-SNAPSHOT.jar,10,3,LINE,4,3468581
3,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,LINE,1,45956167
4,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,LINE,2,37338707
5,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,LINE,4,36331260
6,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,LINE,8,40135226
7,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,LINE,16,47503517
8,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,LINE,1,17348026
9,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,LINE,2,28578988
10,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,LINE,4,40455524
11,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,LINE,8,49670396
12,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,LINE,16,51680694
13,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,LINE,1,14646664
14,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,LINE,2,20069740
15,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,LINE,4,23731230
16,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,LINE,8,43680108
17,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,LINE,16,64443636
18,build/libs/lab1-1.0-SNAPSHOT.jar,10,3,COLUMN,1,246530
19,build/libs/lab1-1.0-SNAPSHOT.jar,10,3,COLUMN,4,3136305
20,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,COLUMN,1,48126337
21,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,COLUMN,2,34363767
22,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,COLUMN,4,37616418
23,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,COLUMN,8,40141935
24,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,COLUMN,16,52774475
25,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,COLUMN,1,18538734
26,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,COLUMN,2,23743736
27,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,COLUMN,4,27741061
28,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,COLUMN,8,32646383
29,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,COLUMN,16,4067230230,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,COLUMN,1,13533222
30,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,COLUMN,2,18645130
31,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,COLUMN,4,26119081
32,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,COLUMN,8,44070048
33,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,COLUMN,16,38972098
34,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,DISTRIBUTION,1,50110552
35,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,DISTRIBUTION,2,64806898
36,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,DISTRIBUTION,4,55506791
37,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,DISTRIBUTION,8,58686726
38,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,DISTRIBUTION,16,72139420
39,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,DISTRIBUTION,1,17179935
40,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,DISTRIBUTION,2,21465459
41,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,DISTRIBUTION,4,26001370
42,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,DISTRIBUTION,8,33809071
43,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,DISTRIBUTION,16,66393120
44,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,DISTRIBUTION,1,13444248
45,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,DISTRIBUTION,2,24962861
46,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,DISTRIBUTION,4,25536833
47,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,DISTRIBUTION,8,35689752
48,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,DISTRIBUTION,16,61241735
49,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,BLOCK,1,56940052
50,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,BLOCK,4,37395276
51,build/libs/lab1-1.0-SNAPSHOT.jar,1000,5,BLOCK,16,46361728
52,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,BLOCK,1,18361010
53,build/libs/lab1-1.0-SNAPSHOT.jar,10,5,BLOCK,4,38705626
54,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,BLOCK,1,12018670
55,build/libs/lab1-1.0-SNAPSHOT.jar,10000,5,BLOCK,4,25665247
