trial_no,program,test,processes,average_time
1,./sequential,1,1,7154045
2,./sequential,2,1,5169785
3,./sequential,3,1,8962950
4,./var1,1,4,11696563
5,./var1,1,8,19657257
6,./var1,1,16,23856759
7,./var1,2,4,10771520
8,./var1,2,8,18677066
9,./var1,2,16,18562881
10,./var1,3,4,23755013
11,./var1,3,8,35394841
12,./var1,3,16,46911661                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
14,./var2,1,4,3535320
15,./var2,1,8,8337139
16,./var2,1,16,8849296
17,./var2,2,4,4722791
18,./var2,2,8,9090098
19,./var2,2,16,10671008
20,./var2,3,4,17158146
21,./var2,3,8,29225091
22,./var2,3,16,34588285
23,./var1,3,16,47673515
24,./var11,3,16,48129494
25,./var11,3,8,34650101
26,./var11,3,4,21870455
27,./var11,2,4,11514756
28,./var11,2,8,18046631
29,./var11,2,16,23245980
30,./var11,1,4,10635569
31,./var11,1,8,12365311
32,./var11,1,16,1500866833
33,./var3,1,4,9296029
34,./var3,1,8,9238609
35,./var3,1,16,11529119
36,./var3,2,4,8278979
37,./var3,2,8,10703526
38,./var3,2,16,11367895
39,./var3,3,4,20084278
40,./var3,3,8,23185641
41,./var3,3,16,27149436
42,./var33,1,4,10758338
43,./var33,1,8,10179652
44,./var33,1,16,11594536
45,./var33,2,4,8416226
46,./var33,2,8,9439553
47,./var33,2,16,11505563
48,./var33,3,4,20458892
49,./var33,3,8,24316196
50,./var33,3,16,26885009
51,sequential,4,1,8179295
52,var1,4,4,15344970
53,var11,4,4,14376127
54,var2,4,4,4569803
55,var3,4,4,8609930
56,var33,4,4,9823114
57,var3,5,4,
